rank,candidate_id,semantic_score,skill_score,behavior_score,experience_score,final_score,explanation
70,CAND_0017132,0.751,4.49,0.6608,1.0,1.7051,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
71,CAND_0038206,0.7413,4.54,0.8428,0.7,1.7051,Positive candidate engagement signals
72,CAND_0002604,0.7513,4.7633,0.318,1.0,1.7049,Strong semantic match with job description; Relevant professional experience
73,CAND_0041194,0.7233,4.7167,0.417,1.0,1.7019,Relevant professional experience
74,CAND_0080359,0.7302,4.5867,0.5608,1.0,1.7009,Positive candidate engagement signals; Relevant professional experience
75,CAND_0051772,0.7361,4.7067,0.3954,1.0,1.7002,Relevant professional experience
76,CAND_0000292,0.7075,5.48,0.0842,0.2,1.6998,Strong technical skill alignment
77,CAND_0075062,0.7526,4.6167,0.4726,1.0,1.6997,Strong semantic match with job description; Relevant professional experience
78,CAND_0011141,0.7495,4.56,0.7688,0.7,1.6986,Positive candidate engagement signals
79,CAND_0071760,0.7548,4.4367,0.6876,1.0,1.6986,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
80,CAND_0020471,0.743,4.66,0.428,1.0,1.6978,Relevant professional experience
81,CAND_0039630,0.7243,4.7333,0.3722,1.0,1.6975,Relevant professional experience
82,CAND_0012863,0.7262,4.7367,0.3608,1.0,1.6968,Relevant professional experience
83,CAND_0047998,0.7376,4.4933,0.6364,1.0,1.6957,Positive candidate engagement signals; Relevant professional experience
84,CAND_0066628,0.7574,4.6033,0.6582,0.7,1.6904,Strong semantic match with job description; Positive candidate engagement signals
85,CAND_0096636,0.7266,4.67,0.4114,1.0,1.6904,Relevant professional experience
86,CAND_0059294,0.7625,4.5833,0.672,0.7,1.6902,Strong semantic match with job description; Positive candidate engagement signals
87,CAND_0034650,0.6995,4.5633,0.596,1.0,1.6898,Positive candidate engagement signals; Relevant professional experience
88,CAND_0074208,0.7252,4.5433,0.7868,0.7,1.6883,Positive candidate engagement signals
89,CAND_0054194,0.7117,4.58,0.54,1.0,1.6877,Positive candidate engagement signals; Relevant professional experience
90,CAND_0065941,0.7388,4.61,0.6734,0.7,1.6877,Positive candidate engagement signals
91,CAND_0026578,0.7562,4.5667,0.4572,1.0,1.6856,Strong semantic match with job description; Relevant professional experience
92,CAND_0067557,0.7176,4.98,0.0116,1.0,1.6844,Relevant professional experience
93,CAND_0062092,0.7574,4.4767,0.5584,1.0,1.6838,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
94,CAND_0048812,0.7457,4.6467,0.3586,1.0,1.6817,Relevant professional experience
95,CAND_0014571,0.722,4.5933,0.4696,1.0,1.6811,Relevant professional experience
96,CAND_0084681,0.7671,4.61,0.5816,0.7,1.6807,Strong semantic match with job description; Positive candidate engagement signals
97,CAND_0023970,0.7456,4.6133,0.6184,0.7,1.6802,Positive candidate engagement signals
98,CAND_0094370,0.7286,4.63,0.4052,1.0,1.68,Relevant professional experience
99,CAND_0082956,0.7554,4.78,0.3766,0.7,1.6775,Strong semantic match with job description
100,CAND_0021889,0.7187,4.8033,0.4194,0.7,1.6772,Moderate overall profile match
101,CAND_0082822,0.7584,4.68,0.2652,1.0,1.6764,Strong semantic match with job description; Relevant professional experience
102,CAND_0072896,0.764,4.53,0.6618,0.7,1.6755,Strong semantic match with job description; Positive candidate engagement signals
103,CAND_0058340,0.75,4.6433,0.32,1.0,1.6748,Strong semantic match with job description; Relevant professional experience
104,CAND_0091611,0.7644,4.3733,0.6264,1.0,1.6744,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
105,CAND_0088031,0.7409,4.7133,0.4674,0.7,1.6732,Moderate overall profile match
106,CAND_0031961,0.7071,4.55,0.5136,1.0,1.6731,Positive candidate engagement signals; Relevant professional experience
107,CAND_0000803,0.738,4.5167,0.4864,1.0,1.6717,Relevant professional experience
108,CAND_0037426,0.7531,4.3367,0.6814,1.0,1.6717,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
109,CAND_0020723,0.7462,4.7067,0.45,0.7,1.6701,Moderate overall profile match
110,CAND_0001930,0.803,4.1633,0.7886,1.0,1.6697,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
111,CAND_0074376,0.7485,4.7433,0.3946,0.7,1.6691,Moderate overall profile match
112,CAND_0060869,0.7615,4.5233,0.6402,0.7,1.6685,Strong semantic match with job description; Positive candidate engagement signals
113,CAND_0016062,0.7219,5.19,0.2574,0.2,1.6677,Strong technical skill alignment
114,CAND_0054864,0.7549,4.5367,0.4062,1.0,1.6674,Strong semantic match with job description; Relevant professional experience
115,CAND_0004601,0.7292,4.63,0.5652,0.7,1.6672,Positive candidate engagement signals
116,CAND_0000739,0.7497,4.7367,0.3904,0.7,1.6671,Moderate overall profile match
117,CAND_0002631,0.7241,4.5933,0.3902,1.0,1.666,Relevant professional experience
118,CAND_0072929,0.737,4.68,0.2552,1.0,1.6658,Relevant professional experience
119,CAND_0057202,0.7705,4.6333,0.4682,0.7,1.6652,Strong semantic match with job description
120,CAND_0037933,0.7666,4.2767,0.6852,1.0,1.6628,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
121,CAND_0080451,0.7579,4.4667,0.4602,1.0,1.6619,Strong semantic match with job description; Relevant professional experience
122,CAND_0093997,0.7227,4.55,0.4238,1.0,1.6613,Relevant professional experience
123,CAND_0079443,0.7452,4.68,0.4376,0.7,1.6606,Moderate overall profile match
124,CAND_0094082,0.715,4.74,0.419,0.7,1.6598,Moderate overall profile match
125,CAND_0090280,0.7355,4.5767,0.3496,1.0,1.6583,Relevant professional experience
126,CAND_0090554,0.7181,4.5633,0.4012,1.0,1.6583,Relevant professional experience
127,CAND_0063510,0.7405,4.5367,0.3864,1.0,1.6577,Relevant professional experience
128,CAND_0036114,0.7643,4.5767,0.2878,1.0,1.6575,Strong semantic match with job description; Relevant professional experience
129,CAND_0019450,0.7586,4.7833,0.2602,0.7,1.6563,Strong semantic match with job description
130,CAND_0081472,0.781,4.6533,0.753,0.2,1.6563,Strong semantic match with job description; Positive candidate engagement signals
131,CAND_0058521,0.7516,4.63,0.24,1.0,1.6561,Strong semantic match with job description; Relevant professional experience
132,CAND_0052994,0.759,4.3067,0.6286,1.0,1.656,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
133,CAND_0059084,0.7556,4.5967,0.4982,0.7,1.656,Strong semantic match with job description
134,CAND_0034564,0.7332,4.3667,0.6028,1.0,1.6555,Positive candidate engagement signals; Relevant professional experience
135,CAND_0010939,0.717,4.59,0.3504,1.0,1.6544,Relevant professional experience
136,CAND_0047848,0.7414,4.7367,0.3412,0.7,1.654,Moderate overall profile match
137,CAND_0067058,0.7353,4.49,0.6568,0.7,1.653,Positive candidate engagement signals
138,CAND_0091691,0.7609,4.67,0.1524,1.0,1.6523,Strong semantic match with job description; Relevant professional experience
139,CAND_0048791,0.742,4.4933,0.4106,1.0,1.6522,Relevant professional experience
140,CAND_0099268,0.7466,4.46,0.4406,1.0,1.6517,Relevant professional experience
141,CAND_0029260,0.7514,4.6633,0.399,0.7,1.6512,Strong semantic match with job description
142,CAND_0043984,0.7399,4.5767,0.5306,0.7,1.6512,Positive candidate engagement signals
143,CAND_0023998,0.7121,4.5533,0.3888,1.0,1.6509,Relevant professional experience
144,CAND_0029817,0.7406,4.56,0.546,0.7,1.6504,Positive candidate engagement signals
145,CAND_0003515,0.7556,4.5767,0.2652,1.0,1.6494,Strong semantic match with job description; Relevant professional experience
146,CAND_0092771,0.7311,4.5367,0.363,1.0,1.6492,Relevant professional experience
147,CAND_0096505,0.7297,4.61,0.273,1.0,1.649,Relevant professional experience
148,CAND_0025658,0.7455,4.5133,0.3616,1.0,1.6488,Relevant professional experience
149,CAND_0014866,0.755,4.6933,0.3408,0.7,1.6485,Strong semantic match with job description
150,CAND_0002623,0.7544,4.59,0.2408,1.0,1.6474,Strong semantic match with job description; Relevant professional experience
151,CAND_0042152,0.7493,4.7133,0.3218,0.7,1.6474,Moderate overall profile match
152,CAND_0063306,0.7507,4.6433,0.1796,1.0,1.647,Strong semantic match with job description; Relevant professional experience
153,CAND_0006180,0.7279,4.5533,0.3358,1.0,1.6467,Relevant professional experience
154,CAND_0016256,0.7138,4.5933,0.3132,1.0,1.6465,Relevant professional experience
155,CAND_0082866,0.7618,4.68,0.1072,1.0,1.6461,Strong semantic match with job description; Relevant professional experience
156,CAND_0094686,0.7327,4.4833,0.4106,1.0,1.646,Relevant professional experience
157,CAND_0019427,0.7399,4.5,0.374,1.0,1.6458,Relevant professional experience
158,CAND_0020007,0.7566,4.4633,0.6084,0.7,1.6451,Strong semantic match with job description; Positive candidate engagement signals
159,CAND_0026236,0.7267,4.5367,0.345,1.0,1.6439,Relevant professional experience
160,CAND_0078857,0.7499,4.6667,0.3524,0.7,1.6421,Moderate overall profile match
161,CAND_0075010,0.7288,4.6033,0.4696,0.7,1.6413,Moderate overall profile match
162,CAND_0097402,0.7493,4.33,0.5436,1.0,1.6409,Positive candidate engagement signals; Relevant professional experience
163,CAND_0054866,0.7514,4.5667,0.462,0.7,1.6396,Strong semantic match with job description
164,CAND_0021222,0.7231,4.5567,0.3044,1.0,1.6393,Relevant professional experience
165,CAND_0036487,0.7568,4.6267,0.3746,0.7,1.6393,Strong semantic match with job description
166,CAND_0033585,0.7507,4.46,0.5914,0.7,1.6386,Strong semantic match with job description; Positive candidate engagement signals
167,CAND_0010800,0.7297,4.75,0.2684,0.7,1.6381,Moderate overall profile match
168,CAND_0038852,0.7335,4.5867,0.2382,1.0,1.6377,Relevant professional experience
169,CAND_0045258,0.7558,4.4333,0.6102,0.7,1.6377,Strong semantic match with job description; Positive candidate engagement signals
170,CAND_0075731,0.7531,4.6567,0.336,0.7,1.6376,Strong semantic match with job description
171,CAND_0019389,0.7074,4.5667,0.312,1.0,1.637,Relevant professional experience
172,CAND_0001842,0.7303,4.6667,0.1384,1.0,1.6365,Relevant professional experience
173,CAND_0005510,0.7348,4.4533,0.3954,1.0,1.6363,Relevant professional experience
174,CAND_0062752,0.7367,4.53,0.2922,1.0,1.6356,Relevant professional experience
175,CAND_0035945,0.7478,4.5867,0.191,1.0,1.634,Relevant professional experience
176,CAND_0012891,0.7256,4.51,0.3296,1.0,1.6337,Relevant professional experience
177,CAND_0036778,0.7462,4.5633,0.2176,1.0,1.6328,Relevant professional experience
178,CAND_0014392,0.7598,4.46,0.3188,1.0,1.6327,Strong semantic match with job description; Relevant professional experience
179,CAND_0076075,0.7388,4.4933,0.318,1.0,1.6324,Relevant professional experience
180,CAND_0012051,0.7338,4.3733,0.477,1.0,1.6323,Relevant professional experience
181,CAND_0042694,0.7286,4.6467,0.1442,1.0,1.632,Relevant professional experience
182,CAND_0035297,0.7303,4.5067,0.3114,1.0,1.6311,Relevant professional experience
183,CAND_0001921,0.732,4.46,0.3624,1.0,1.6303,Relevant professional experience
184,CAND_0001820,0.745,4.6333,0.1182,1.0,1.63,Relevant professional experience
185,CAND_0042501,0.7368,4.3733,0.4598,1.0,1.63,Relevant professional experience
186,CAND_0063177,0.7047,4.5867,0.257,1.0,1.6299,Relevant professional experience
187,CAND_0056324,0.7457,4.6233,0.3474,0.7,1.6286,Moderate overall profile match
188,CAND_0035925,0.7556,4.3967,0.3836,1.0,1.6281,Strong semantic match with job description; Relevant professional experience
189,CAND_0091926,0.7138,4.3567,0.514,1.0,1.6275,Positive candidate engagement signals; Relevant professional experience
190,CAND_0004985,0.7402,4.66,0.0804,1.0,1.6272,Relevant professional experience
191,CAND_0036871,0.7466,4.37,0.6548,0.7,1.6271,Positive candidate engagement signals
192,CAND_0022484,0.7403,4.54,0.4542,0.7,1.627,Moderate overall profile match
193,CAND_0086332,0.7254,4.6133,0.1668,1.0,1.6269,Relevant professional experience
194,CAND_0023359,0.7479,4.42,0.3626,1.0,1.6267,Relevant professional experience
195,CAND_0019845,0.7578,4.2767,0.746,0.7,1.6265,Strong semantic match with job description; Positive candidate engagement signals
196,CAND_0072440,0.7575,4.4,0.366,1.0,1.6262,Strong semantic match with job description; Relevant professional experience
197,CAND_0093968,0.7226,4.4567,0.59,0.7,1.6262,Positive candidate engagement signals
198,CAND_0014320,0.7326,4.59,0.1778,1.0,1.6261,Relevant professional experience
199,CAND_0069038,0.7539,4.3567,0.6474,0.7,1.6252,Strong semantic match with job description; Positive candidate engagement signals
200,CAND_0029295,0.7522,4.4233,0.3408,1.0,1.6249,Strong semantic match with job description; Relevant professional experience
201,CAND_0035113,0.7419,4.43,0.5776,0.7,1.6248,Positive candidate engagement signals
202,CAND_0056331,0.7092,4.53,0.2904,1.0,1.6243,Relevant professional experience
203,CAND_0020372,0.7389,4.4667,0.5346,0.7,1.6241,Positive candidate engagement signals
204,CAND_0036715,0.7434,4.53,0.445,0.7,1.6239,Moderate overall profile match
205,CAND_0017014,0.7304,4.6433,0.329,0.7,1.6238,Moderate overall profile match
206,CAND_0050151,0.7481,4.5767,0.1518,1.0,1.6238,Relevant professional experience
207,CAND_0063224,0.758,4.5833,0.3484,0.7,1.6237,Strong semantic match with job description
208,CAND_0007955,0.7396,4.57,0.1762,1.0,1.6236,Relevant professional experience
209,CAND_0005932,0.7582,4.7867,0.0926,0.7,1.6235,Strong semantic match with job description
210,CAND_0063737,0.7699,4.37,0.363,1.0,1.6231,Strong semantic match with job description; Relevant professional experience
211,CAND_0016553,0.7409,4.14,0.706,1.0,1.6226,Positive candidate engagement signals; Relevant professional experience
212,CAND_0053774,0.7628,4.4867,0.4532,0.7,1.6224,Strong semantic match with job description
213,CAND_0007177,0.7609,4.46,0.4892,0.7,1.6222,Strong semantic match with job description
214,CAND_0028459,0.7294,4.6733,0.0608,1.0,1.6222,Relevant professional experience
215,CAND_0063471,0.7193,4.56,0.4474,0.7,1.6222,Moderate overall profile match
216,CAND_0061985,0.74,4.66,0.0538,1.0,1.6217,Relevant professional experience
217,CAND_0078813,0.7255,4.4333,0.3642,1.0,1.6214,Relevant professional experience
218,CAND_0003805,0.7523,4.3567,0.6308,0.7,1.6213,Strong semantic match with job description; Positive candidate engagement signals
219,CAND_0024216,0.7436,4.64,0.0672,1.0,1.6209,Relevant professional experience
220,CAND_0001837,0.7377,4.4267,0.3442,1.0,1.6206,Relevant professional experience
221,CAND_0002541,0.7226,4.3267,0.4982,1.0,1.6203,Relevant professional experience
222,CAND_0046871,0.7599,4.38,0.5796,0.7,1.6199,Strong semantic match with job description; Positive candidate engagement signals
223,CAND_0068102,0.7453,4.7233,0.5526,0.2,1.6195,Positive candidate engagement signals
224,CAND_0027061,0.738,4.54,0.195,1.0,1.6192,Relevant professional experience
225,CAND_0057219,0.7687,4.5267,0.3746,0.7,1.6191,Strong semantic match with job description
226,CAND_0013090,0.7453,4.34,0.6516,0.7,1.6184,Positive candidate engagement signals
227,CAND_0049836,0.7202,4.3867,0.4178,1.0,1.6183,Relevant professional experience
228,CAND_0097282,0.7606,4.5967,0.6736,0.2,1.6181,Strong semantic match with job description; Positive candidate engagement signals
229,CAND_0085171,0.7383,4.5333,0.4216,0.7,1.618,Moderate overall profile match
230,CAND_0002525,0.7428,4.6,0.1034,1.0,1.6178,Relevant professional experience
231,CAND_0090496,0.739,4.4333,0.5432,0.7,1.6176,Positive candidate engagement signals
232,CAND_0090140,0.7316,4.65,0.2854,0.7,1.6172,Moderate overall profile match
233,CAND_0095093,0.7259,4.6133,0.1174,1.0,1.6172,Relevant professional experience
234,CAND_0011168,0.759,4.4767,0.447,0.7,1.6171,Strong semantic match with job description
235,CAND_0078654,0.7429,4.48,0.4734,0.7,1.6169,Moderate overall profile match
236,CAND_0058997,0.7196,4.6733,0.2768,0.7,1.6165,Moderate overall profile match
237,CAND_0063826,0.7176,4.3,0.5218,1.0,1.6164,Positive candidate engagement signals; Relevant professional experience
238,CAND_0006395,0.7239,4.7,0.0022,1.0,1.615,Relevant professional experience
239,CAND_0093107,0.7261,4.2567,0.5504,1.0,1.6147,Positive candidate engagement signals; Relevant professional experience
240,CAND_0056642,0.7235,4.5367,0.2034,1.0,1.6142,Relevant professional experience
241,CAND_0064615,0.7367,4.3733,0.3796,1.0,1.6139,Relevant professional experience
242,CAND_0092856,0.7449,4.5567,0.133,1.0,1.6137,Relevant professional experience
243,CAND_0021463,0.7291,4.6333,0.0656,1.0,1.6131,Relevant professional experience
244,CAND_0089225,0.7358,4.4533,0.4952,0.7,1.6117,Moderate overall profile match
245,CAND_0038984,0.7358,4.57,0.3484,0.7,1.6115,Moderate overall profile match
246,CAND_0050666,0.7138,4.5133,0.2372,1.0,1.6113,Relevant professional experience
247,CAND_0018234,0.736,4.5933,0.0902,1.0,1.6108,Relevant professional experience
248,CAND_0026828,0.7269,4.63,0.2878,0.7,1.6108,Moderate overall profile match
249,CAND_0030694,0.7578,4.7267,0.103,0.7,1.6104,Strong semantic match with job description
250,CAND_0031780,0.7299,4.5467,0.1588,1.0,1.6104,Relevant professional experience
251,CAND_0073010,0.7468,4.5333,0.3666,0.7,1.6104,Moderate overall profile match
252,CAND_0080609,0.7358,4.2467,0.747,0.7,1.6104,Positive candidate engagement signals
253,CAND_0052743,0.7438,4.6967,0.1674,0.7,1.6102,Moderate overall profile match
254,CAND_0078121,0.7745,4.56,0.0504,1.0,1.6099,Strong semantic match with job description; Relevant professional experience
255,CAND_0027212,0.7294,4.6333,0.2734,0.7,1.6098,Moderate overall profile match
256,CAND_0053385,0.7299,4.6167,0.6632,0.2,1.6088,Positive candidate engagement signals
257,CAND_0070696,0.7093,4.6433,0.6706,0.2,1.6087,Positive candidate engagement signals
258,CAND_0067713,0.752,4.37,0.3258,1.0,1.6085,Strong semantic match with job description; Relevant professional experience
259,CAND_0017552,0.7343,4.5467,0.1402,1.0,1.6084,Relevant professional experience
260,CAND_0044503,0.7315,4.49,0.4416,0.7,1.6084,Moderate overall profile match
261,CAND_0024010,0.7286,4.6567,0.0132,1.0,1.6083,Relevant professional experience
262,CAND_0096304,0.7467,4.32,0.6232,0.7,1.6083,Positive candidate engagement signals
263,CAND_0052782,0.7544,4.5867,0.2722,0.7,1.6079,Strong semantic match with job description
264,CAND_0033991,0.7377,4.4967,0.1926,1.0,1.6078,Relevant professional experience
265,CAND_0044222,0.7938,4.0,0.7006,1.0,1.6076,Strong semantic match with job description; Positive candidate engagement signals; Relevant professional experience
266,CAND_0042153,0.7195,4.1633,0.6432,1.0,1.6073,Positive candidate engagement signals; Relevant professional experience
267,CAND_0011476,0.7296,4.2667,0.4932,1.0,1.6071,Relevant professional experience
268,CAND_0054474,0.7371,4.33,0.3926,1.0,1.6059,Relevant professional experience
269,CAND_0062630,0.7477,4.51,0.3692,0.7,1.6054,Moderate overall profile match
270,CAND_0055164,0.7313,4.4633,0.4598,0.7,1.6053,Moderate overall profile match
271,CAND_0002336,0.7052,4.4267,0.3316,1.0,1.6051,Relevant professional experience
272,CAND_0047703,0.7489,4.51,0.3652,0.7,1.6051,Moderate overall profile match
273,CAND_0089098,0.7169,4.4133,0.325,1.0,1.6051,Relevant professional experience
274,CAND_0012312,0.7326,4.2933,0.4428,1.0,1.6049,Relevant professional experience
275,CAND_0035214,0.7755,4.4833,0.119,1.0,1.6048,Strong semantic match with job description; Relevant professional experience
276,CAND_0082963,0.7356,4.58,0.0776,1.0,1.6047,Relevant professional experience
277,CAND_0062533,0.7604,4.43,0.4394,0.7,1.6045,Strong semantic match with job description
